name,time,quantity
คลองเตย,oct_60,9273.45
คลองสาน,oct_60,3953.14
คลองสามวา,oct_60,6536.56
คันนายาว,oct_60,4562.05
จตุจักร,oct_60,13190.9
จอมทอง,oct_60,6265.85
ดอนเมือง,oct_60,6486.68
ดินแดง,oct_60,9296.14
ดุสิต,oct_60,5203.13
ตลิ่งชัน,oct_60,4693.45
ทวีวัฒนา,oct_60,3286.79
ทุ่งครุ,oct_60,4632.61
ธนบุรี,oct_60,5207.07
บางกอกน้อย,oct_60,6213.54
บางกอกใหญ่,oct_60,2507.14
บางกะปิ,oct_60,10538.4
บางขุนเทียน,oct_60,10956.2
บางเขน,oct_60,9626.36
บางคอแหลม,oct_60,4324.86
บางแค,oct_60,9491.53
บางซื่อ,oct_60,5192.49
บางนา,oct_60,7069.26
บางบอน,oct_60,7226.66
บางพลัด,oct_60,5088.45
บางรัก,oct_60,5159.71
บึงกุ่ม,oct_60,6383.77
ปทุมวัน,oct_60,9273.48
ประเวศ,oct_60,9264.9
ป้อมปราบศัตรูพ่าย,oct_60,2642.59
พญาไท,oct_60,5296.59
พระโขนง,oct_60,4563.04
พระนคร,oct_60,6805.22
ภาษีเจริญ,oct_60,5257
มีนบุรี,oct_60,5797.5
ยานนาวา,oct_60,5862.79
ราชเทวี,oct_60,6551.77
ราษฎร์บูรณะ,oct_60,3677.89
ลาดกระบัง,oct_60,8852.44
ลาดพร้าว,oct_60,6657.93
วังทองหลาง,oct_60,7061.8
วัฒนา,oct_60,8715.1
สวนหลวง,oct_60,7142.6
สะพานสูง,oct_60,3884.6
สัมพันธวงศ์,oct_60,1784.02
สาทร,oct_60,5646.62
สายไหม,oct_60,7319.78
หนองแขม,oct_60,5533.07
หนองจอก,oct_60,4169.56
หลักสี่,oct_60,5644.96
ห้วยขวาง,oct_60,6834.21
อื่นๆ,oct_60,18217.05
คลองเตย,nov_60,8864.92
คลองสาน,nov_60,3741.27
คลองสามวา,nov_60,6020.13
คันนายาว,nov_60,4257.13
จตุจักร,nov_60,12824.3
จอมทอง,nov_60,6034.12
ดอนเมือง,nov_60,6140.07
ดินแดง,nov_60,8554.03
ดุสิต,nov_60,5172.06
ตลิ่งชัน,nov_60,4368.31
ทวีวัฒนา,nov_60,3153.07
ทุ่งครุ,nov_60,4161.68
ธนบุรี,nov_60,4860.21
บางกอกน้อย,nov_60,5103.47
บางกอกใหญ่,nov_60,2319.97
บางกะปิ,nov_60,9990.66
บางขุนเทียน,nov_60,9952.36
บางเขน,nov_60,8959.74
บางคอแหลม,nov_60,4057.93
บางแค,nov_60,8502.87
บางซื่อ,nov_60,4854.27
บางนา,nov_60,6823.96
บางบอน,nov_60,6643.54
บางพลัด,nov_60,4646.63
บางรัก,nov_60,4703.67
บึงกุ่ม,nov_60,5976.05
ปทุมวัน,nov_60,9269.48
ประเวศ,nov_60,8298.3
ป้อมปราบศัตรูพ่าย,nov_60,2535.52
พญาไท,nov_60,5052.82
พระโขนง,nov_60,4197.33
พระนคร,nov_60,6223.41
ภาษีเจริญ,nov_60,4860.4
มีนบุรี,nov_60,5309.72
ยานนาวา,nov_60,5431.72
ราชเทวี,nov_60,6382.53
ราษฎร์บูรณะ,nov_60,3530.36
ลาดกระบัง,nov_60,8443.6
ลาดพร้าว,nov_60,6091.23
วังทองหลาง,nov_60,6937.28
วัฒนา,nov_60,8352.22
สวนหลวง,nov_60,6758.44
สะพานสูง,nov_60,3680.13
สัมพันธวงศ์,nov_60,1662.08
สาทร,nov_60,5319.93
สายไหม,nov_60,6860.28
หนองแขม,nov_60,5266.14
หนองจอก,nov_60,3861.49
หลักสี่,nov_60,5538.57
ห้วยขวาง,nov_60,6577.55
อื่นๆ,nov_60,17315.44
